id, exclamation_mark, question_mark, @, sentiment_pos, sentiment_neg, sentiment_score, hashtag, people, location, organization, first_pronoun, second_pronoun, third_pronoun, URL, words, characters
3928935773217658, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 30.0, 66.0
3922488524491916, 0.0, 0.0, 1.0, 0.0, 4.0, -73.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 32.0, 76.0
3913825189070405, 0.0, 2.0, 0.0, 1.0, 1.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.0, 44.0
3927859736925018, 0.0, 0.0, 1.0, 1.0, 1.0, -16.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 24.0
3910893316024844, 0.0, 0.0, 0.0, 0.0, 3.0, -84.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 37.0, 91.0
3796156255795061, 2.0, 0.0, 0.0, 3.0, 1.0, 49.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 46.0, 136.0
3542723967098058, 2.0, 0.0, 0.0, 2.0, 0.0, 77.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 26.0, 67.0
3895740356930342, 1.0, 0.0, 0.0, 2.0, 0.0, 22.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.0, 36.0
3906467960248126, 2.0, 1.0, 1.0, 3.0, 4.0, -14.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 44.0, 94.0
3915997096295738, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 51.0, 125.0
3510026650129395, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 34.0
3920341812196519, 0.0, 0.0, 0.0, 2.0, 0.0, 11.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 44.0, 121.0
3844176817149616, 1.0, 0.0, 0.0, 2.0, 1.0, 38.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 36.0, 81.0
3687182944525098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 15.0
3912794653108552, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 12.0
3487221182830343, 2.0, 0.0, 0.0, 2.0, 2.0, -20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 71.0
3927946152530439, 0.0, 0.0, 0.0, 1.0, 1.0, -5.0, 1.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 36.0, 82.0
